FromSite,FromWh,Item,Color,Size,Qty,ToSite,ToWh
KT,STL-L,2100PRV,RWPR,SMD,3.0,KT,STL
KT,STL-L,2103,GRPR,LGE,30.0,KT,STL
KT,STL-L,2103,TNPR,LGE,57.0,KT,STL
KT,STL-L,3148,WWY,42,794.0,KT,STL
KT,STL-L,3187,WWY,SML,8886.0,KT,STL
KT,STL-L,3224,WWY,44L,430.0,KT,STL
KT,STL-L,4160,CBPR,SML,20.0,KT,STL
KT,STL-L,4160,RPPR,MED,1.0,KT,STL
KT,STL-L,4161,GRPR,LGE,6.0,KT,STL
KT,STL-L,4259,GRPR,XLG,14.0,KT,STL
KT,STL-L,70221,GREY,XSM,124.0,KT,STL
KT,STL-L,70221,ROYAL,XLG,4.0,KT,STL
KT,STL-L,71221,NAVY,XLG,1.0,KT,STL
KT,STL-L,71229,CEIL,4XL,72.0,KT,STL
KT,STL-L,71229,CEIL,5XL,7.0,KT,STL
KT,STL-L,71229,CEIL,LGE,378.0,KT,STL
KT,STL-L,71229,CEIL,MED,387.0,KT,STL
KT,STL-L,71229,CEIL,XLG,40.0,KT,STL
KT,STL-L,71229,GREY,3XL,92.0,KT,STL
KT,STL-L,71229,GREY,4XL,36.0,KT,STL
KT,STL-L,71229,GREY,5XL,11.0,KT,STL
KT,STL-L,71229,GREY,LGE,8.0,KT,STL
KT,STL-L,71229,GREY,MED,119.0,KT,STL
KT,STL-L,71229,GREY,SML,189.0,KT,STL
KT,STL-L,71229,GREY,XSM,75.0,KT,STL
KT,STL-L,71229,GREY,XXL,120.0,KT,STL
KT,STL-L,71229,NAVY,3XL,156.0,KT,STL
KT,STL-L,71229,NAVY,4XL,40.0,KT,STL
KT,STL-L,71229,NAVY,5XL,82.0,KT,STL
KT,STL-L,71229,NAVY,MED,107.0,KT,STL
KT,STL-L,71229,NAVY,SML,21.0,KT,STL
KT,STL-L,71229,NAVY,XLG,40.0,KT,STL
KT,STL-L,71229,NAVY,XSM,18.0,KT,STL
KT,STL-L,71229,ROYAL,4XL,8.0,KT,STL
KT,STL-L,71229,ROYAL,LGE,206.0,KT,STL
KT,STL-L,71229,ROYAL,MED,164.0,KT,STL
KT,STL-L,71229,ROYAL,SML,207.0,KT,STL
KT,STL-L,71229,ROYAL,XXL,51.0,KT,STL
KT,STL-L,71229,TEAL,4XL,76.0,KT,STL
KT,STL-L,71229,TEAL,MED,78.0,KT,STL
KT,STL-L,71229,TEAL,XLG,212.0,KT,STL
KT,STL-L,71229,TEAL,XSM,194.0,KT,STL
KT,STL-L,71229,TEAL,XXL,66.0,KT,STL
KT,STL-L,7502,BKP,SML,544.0,KT,STL
KT,STL-L,75029,BCP,MED,1.0,KT,STL
KT,STL-L,75029,BEP,LGE,9.0,KT,STL
KT,STL-L,75029,BEP,SML,9.0,KT,STL
KT,STL-L,75029,BEP,XLG,9.0,KT,STL
KT,STL-L,75029,BKP,MED,2.0,KT,STL
KT,STL-L,75029,BKP,SML,9.0,KT,STL
KT,STL-L,75029,BKP,XLG,5.0,KT,STL
KT,STL-L,75029,BNP,MED,3.0,KT,STL
KT,STL-L,75029,BNP,SML,20.0,KT,STL
KT,STL-L,75029,BNP,XLG,2.0,KT,STL
KT,STL-L,75029,BNP,XSM,3.0,KT,STL
KT,STL-L,75029,BNP,XXL,2.0,KT,STL
KT,STL-L,75229,CEIL,LGE,47.0,KT,STL
KT,STL-L,75229,CEIL,MED,665.0,KT,STL
KT,STL-L,75229,CEIL,SML,1943.0,KT,STL
